;infix;prefix;conclusion
0;not 1 sep not 4;sep not 1 not 4;FnnFn
1;not 3 sep ( 2 or 3 );sep not 3 or 2 3;nTFnn
2;not 4 sep not 3;sep not 4 not 3;nnFFn
3;not 5 sep 1;sep not 5 1;TnnnF
4;not 3 sep ( 1 and 2 );sep not 3 and 1 2;TTFnn
5;( 3 and 2 ) sep ( 3 or 5 );sep and 3 2 or 3 5;nTTnn
6;not 4 sep ( 3 or 1 );sep not 4 or 3 1;nnTFn,TnnFn
7;( 5 or 4 ) sep ( 4 or 4 );sep or 5 4 or 4 4;nnnTn
8;2 sep ( 2 and 1 );sep 2 and 2 1;TTnnn
9;5 sep ( 5 and 5 );sep 5 and 5 5;nnnnT
10;not 3 sep ( 1 or 1 );sep not 3 or 1 1;TnFnn
11;( 2 or 2 ) sep 4;sep or 2 2 4;nTnTn
12;not 1 sep not 5;sep not 1 not 5;FnnnF
13;( 5 and 1 ) sep not 2;sep and 5 1 not 2;TFnnT
14;not 1 sep 4;sep not 1 4;FnnTn
15;not 3 sep not 2;sep not 3 not 2;nFFnn
16;( 2 or 1 ) sep not 3;sep or 2 1 not 3;nTFnn,TnFnn
17;( 2 or 3 ) sep ( 2 and 3 );sep or 2 3 and 2 3;nTTnn
18;( 1 or 5 ) sep ( 3 and 4 );sep or 1 5 and 3 4;nnTTT,TnTTn
19;( 5 or 4 ) sep not 1;sep or 5 4 not 1;FnnnT,FnnTn
20;( 5 or 1 ) sep not 5;sep or 5 1 not 5;TnnnF
21;( 3 or 3 ) sep not 4;sep or 3 3 not 4;nnTFn
22;( 2 and 3 ) sep ( 3 or 5 );sep and 2 3 or 3 5;nTTnn
23;1 sep not 4;sep 1 not 4;TnnFn
24;not 5 sep ( 1 or 3 );sep not 5 or 1 3;nnTnF,TnnnF
25;( 1 and 1 ) sep ( 4 and 2 );sep and 1 1 and 4 2;TTnTn
26;( 3 and 3 ) sep ( 1 and 1 );sep and 3 3 and 1 1;TnTnn
27;( 2 and 2 ) sep ( 1 and 2 );sep and 2 2 and 1 2;TTnnn
28;not 2 sep 3;sep not 2 3;nFTnn
29;( 4 and 3 ) sep 3;sep and 4 3 3;nnTTn
30;5 sep ( 1 or 2 );sep 5 or 1 2;nTnnT,TnnnT
31;( 1 and 3 ) sep ( 1 and 2 );sep and 1 3 and 1 2;TTTnn
32;not 1 sep ( 4 or 1 );sep not 1 or 4 1;FnnTn
33;( 5 and 4 ) sep not 1;sep and 5 4 not 1;FnnTT
34;not 3 sep ( 5 or 5 );sep not 3 or 5 5;nnFnT
35;3 sep ( 4 or 5 );sep 3 or 4 5;nnTnT,nnTTn
36;( 3 or 5 ) sep ( 1 and 3 );sep or 3 5 and 1 3;TnTnn
37;3 sep ( 1 or 5 );sep 3 or 1 5;nnTnT,TnTnn
38;( 1 or 3 ) sep not 4;sep or 1 3 not 4;nnTFn,TnnFn
39;not 3 sep not 4;sep not 3 not 4;nnFFn
40;not 1 sep ( 5 and 5 );sep not 1 and 5 5;FnnnT
41;not 3 sep not 3;sep not 3 not 3;nnFnn
42;( 4 and 3 ) sep ( 5 or 1 );sep and 4 3 or 5 1;nnTTT,TnTTn
43;( 4 or 1 ) sep ( 3 or 3 );sep or 4 1 or 3 3;nnTTn,TnTnn
44;( 1 and 1 ) sep ( 5 and 1 );sep and 1 1 and 5 1;TnnnT
45;( 5 or 1 ) sep 2;sep or 5 1 2;nTnnT,TTnnn
46;not 3 sep ( 5 and 4 );sep not 3 and 5 4;nnFTT
47;not 5 sep ( 2 and 4 );sep not 5 and 2 4;nTnTF
48;2 sep not 3;sep 2 not 3;nTFnn
49;( 1 or 5 ) sep ( 2 or 5 );sep or 1 5 or 2 5;nnnnT,TTnnn
50;( 2 or 1 ) sep ( 2 and 2 );sep or 2 1 and 2 2;nTnnn
51;not 5 sep ( 5 or 4 );sep not 5 or 5 4;nnnTF
52;( 3 and 3 ) sep 4;sep and 3 3 4;nnTTn
53;( 3 or 2 ) sep ( 5 or 4 );sep or 3 2 or 5 4;nnTnT,nnTTn,nTnnT,nTnTn
54;( 1 or 4 ) sep not 5;sep or 1 4 not 5;nnnTF,TnnnF
55;( 2 and 3 ) sep ( 2 or 1 );sep and 2 3 or 2 1;nTTnn
56;5 sep ( 2 or 4 );sep 5 or 2 4;nnnTT,nTnnT
57;not 4 sep ( 2 and 5 );sep not 4 and 2 5;nTnFT
58;( 1 and 1 ) sep 1;sep and 1 1 1;Tnnnn
59;( 2 or 3 ) sep not 1;sep or 2 3 not 1;FnTnn,FTnnn
60;( 4 or 1 ) sep ( 5 or 4 );sep or 4 1 or 5 4;nnnTn,TnnnT
61;( 1 and 4 ) sep not 3;sep and 1 4 not 3;TnFTn
62;( 2 or 1 ) sep ( 4 or 2 );sep or 2 1 or 4 2;nTnnn,TnnTn
63;( 3 and 3 ) sep ( 5 or 3 );sep and 3 3 or 5 3;nnTnn
64;not 1 sep ( 3 and 5 );sep not 1 and 3 5;FnTnT
65;5 sep not 3;sep 5 not 3;nnFnT
66;( 3 and 5 ) sep ( 5 and 2 );sep and 3 5 and 5 2;nTTnT
67;( 2 or 5 ) sep not 1;sep or 2 5 not 1;FnnnT,FTnnn
68;( 1 or 5 ) sep ( 5 and 2 );sep or 1 5 and 5 2;nTnnT
69;( 5 or 1 ) sep ( 3 and 5 );sep or 5 1 and 3 5;nnTnT
70;4 sep not 5;sep 4 not 5;nnnTF
71;( 2 or 2 ) sep ( 1 and 1 );sep or 2 2 and 1 1;TTnnn
72;5 sep ( 1 and 4 );sep 5 and 1 4;TnnTT
73;1 sep ( 5 or 2 );sep 1 or 5 2;TnnnT,TTnnn
74;( 5 and 2 ) sep ( 2 or 5 );sep and 5 2 or 2 5;nTnnT
75;( 5 or 3 ) sep ( 2 or 5 );sep or 5 3 or 2 5;nnnnT,nTTnn
76;( 1 and 4 ) sep ( 4 or 2 );sep and 1 4 or 4 2;TnnTn
77;not 3 sep ( 1 or 3 );sep not 3 or 1 3;TnFnn
78;( 3 and 2 ) sep not 1;sep and 3 2 not 1;FTTnn
79;( 3 and 2 ) sep ( 3 and 5 );sep and 3 2 and 3 5;nTTnT
80;not 3 sep ( 1 or 2 );sep not 3 or 1 2;nTFnn,TnFnn
81;( 2 and 5 ) sep not 1;sep and 2 5 not 1;FTnnT
82;( 2 or 4 ) sep ( 2 or 1 );sep or 2 4 or 2 1;nTnnn,TnnTn
83;( 5 and 5 ) sep not 4;sep and 5 5 not 4;nnnFT
84;( 5 and 3 ) sep not 1;sep and 5 3 not 1;FnTnT
85;2 sep ( 3 and 2 );sep 2 and 3 2;nTTnn
86;( 5 or 2 ) sep ( 2 and 3 );sep or 5 2 and 2 3;nTTnn
87;( 5 and 3 ) sep ( 4 or 2 );sep and 5 3 or 4 2;nnTTT,nTTnT
88;1 sep ( 1 and 4 );sep 1 and 1 4;TnnTn
89;not 4 sep ( 5 and 1 );sep not 4 and 5 1;TnnFT
