;infix;prefix;conclusion
0;( 3 and 3 ) sep ( 1 or 2 );sep and 3 3 or 1 2;nTTnn,TnTnn
1;not 5 sep not 3;sep not 5 not 3;nnFnF
2;not 3 sep not 4;sep not 3 not 4;nnFFn
3;4 sep not 1;sep 4 not 1;FnnTn
4;( 5 or 1 ) sep ( 2 and 5 );sep or 5 1 and 2 5;nTnnT
5;( 1 and 2 ) sep ( 4 and 5 );sep and 1 2 and 4 5;TTnTT
6;not 4 sep ( 2 or 3 );sep not 4 or 2 3;nnTFn,nTnFn
7;( 4 and 4 ) sep ( 3 or 3 );sep and 4 4 or 3 3;nnTTn
8;not 4 sep ( 2 and 5 );sep not 4 and 2 5;nTnFT
9;( 1 or 1 ) sep ( 1 and 2 );sep or 1 1 and 1 2;TTnnn
10;( 4 and 2 ) sep 1;sep and 4 2 1;TTnTn
11;not 4 sep not 1;sep not 4 not 1;FnnFn
12;( 1 and 4 ) sep ( 3 and 4 );sep and 1 4 and 3 4;TnTTn
13;1 sep ( 1 or 5 );sep 1 or 1 5;Tnnnn
14;( 5 and 4 ) sep ( 5 or 5 );sep and 5 4 or 5 5;nnnTT
15;not 1 sep ( 3 and 4 );sep not 1 and 3 4;FnTTn
16;not 1 sep not 5;sep not 1 not 5;FnnnF
17;( 4 or 1 ) sep ( 3 or 2 );sep or 4 1 or 3 2;nnTTn,nTnTn,TnTnn,TTnnn
18;( 2 or 5 ) sep ( 2 and 1 );sep or 2 5 and 2 1;TTnnn
19;( 3 or 1 ) sep ( 3 or 1 );sep or 3 1 or 3 1;nnTnn,Tnnnn
20;( 4 and 1 ) sep ( 1 or 4 );sep and 4 1 or 1 4;TnnTn
21;( 5 and 1 ) sep ( 5 and 2 );sep and 5 1 and 5 2;TTnnT
22;( 3 and 3 ) sep ( 3 or 5 );sep and 3 3 or 3 5;nnTnn
23;( 2 and 1 ) sep 1;sep and 2 1 1;TTnnn
24;2 sep ( 2 and 3 );sep 2 and 2 3;nTTnn
25;( 4 or 4 ) sep ( 3 and 3 );sep or 4 4 and 3 3;nnTTn
26;3 sep not 1;sep 3 not 1;FnTnn
27;( 1 or 5 ) sep not 5;sep or 1 5 not 5;TnnnF
28;( 2 or 3 ) sep ( 1 and 1 );sep or 2 3 and 1 1;TnTnn,TTnnn
29;( 3 or 4 ) sep not 1;sep or 3 4 not 1;FnnTn,FnTnn
30;not 1 sep ( 3 or 3 );sep not 1 or 3 3;FnTnn
31;( 5 or 5 ) sep ( 5 and 1 );sep or 5 5 and 5 1;TnnnT
32;( 1 or 4 ) sep not 5;sep or 1 4 not 5;nnnTF,TnnnF
33;not 5 sep ( 1 or 4 );sep not 5 or 1 4;nnnTF,TnnnF
34;( 4 and 3 ) sep not 5;sep and 4 3 not 5;nnTTF
35;4 sep 1;sep 4 1;TnnTn
36;not 5 sep not 5;sep not 5 not 5;nnnnF
37;not 4 sep ( 3 or 1 );sep not 4 or 3 1;nnTFn,TnnFn
38;( 5 and 5 ) sep not 3;sep and 5 5 not 3;nnFnT
39;1 sep not 5;sep 1 not 5;TnnnF
40;( 3 and 5 ) sep ( 4 or 4 );sep and 3 5 or 4 4;nnTTT
41;( 2 and 2 ) sep not 1;sep and 2 2 not 1;FTnnn
