;infix;prefix;conclusion
0;not not 2;not not 2;2
1;3;3;3
2;5;5;5
3;2;2;2
4;( ( 4 and 1 ) or ( 1 and 1 ) );or and 4 1 and 1 1;1
5;4;4;4
6;( ( 1 or 1 ) and ( 2 or 4 ) );and or 1 1 or 2 4;1
7;( not 5 and 1 );and not 5 1;1
8;( ( 3 or 5 ) and ( 5 or 5 ) );and or 3 5 or 5 5;5
9;not not 1;not not 1;1
10;not not 3;not not 3;3
11;( not 5 and ( 4 and 4 ) );and not 5 and 4 4;4
12;1;1;1
13;not not 5;not not 5;5
14;( 2 and ( 1 or 3 ) );and 2 or 1 3;2
15;( ( 4 and 4 ) or ( 5 and 4 ) );or and 4 4 and 5 4;4
16;not not 4;not not 4;4
17;( 2 and not 1 );and 2 not 1;2
18;( 1 and ( 4 or 3 ) );and 1 or 4 3;1
19;( ( 1 or 5 ) and not 5 );and or 1 5 not 5;1
20;( ( 5 and 5 ) and ( 1 or 3 ) );and and 5 5 or 1 3;5
21;( ( 3 and 5 ) or 5 );or and 3 5 5;5
22;( 3 and not 1 );and 3 not 1;3
23;( not 5 and ( 2 or 5 ) );and not 5 or 2 5;2
24;( ( 2 and 4 ) or ( 1 and 4 ) );or and 2 4 and 1 4;4
25;( ( 4 or 2 ) and ( 4 or 4 ) );and or 4 2 or 4 4;4
26;( not 5 and ( 3 or 3 ) );and not 5 or 3 3;3
27;( ( 3 or 5 ) and not 5 );and or 3 5 not 5;3
28;( ( 4 and 4 ) and ( 4 or 1 ) );and and 4 4 or 4 1;4
29;( not 5 and 4 );and not 5 4;4
30;( ( 2 or 2 ) and ( 1 or 5 ) );and or 2 2 or 1 5;2
31;( ( 2 and 3 ) or ( 2 and 1 ) );or and 2 3 and 2 1;2
32;( ( 3 or 3 ) and ( 4 or 1 ) );and or 3 3 or 4 1;3
33;( ( 4 or 4 ) and not 5 );and or 4 4 not 5;4
34;( ( 1 or 3 ) and 1 );and or 1 3 1;1
35;( not 1 and ( 2 or 1 ) );and not 1 or 2 1;2
36;( ( 3 and 3 ) and not 5 );and and 3 3 not 5;3
37;( 2 or ( 2 and 2 ) );or 2 and 2 2;2
38;( ( 3 or 5 ) and ( 4 and 4 ) );and or 3 5 and 4 4;4
39;( not 2 and 1 );and not 2 1;1
40;( ( 3 or 2 ) and not 2 );and or 3 2 not 2;3
41;( 1 and not 5 );and 1 not 5;1
42;( ( 1 and 2 ) or ( 1 and 3 ) );or and 1 2 and 1 3;1
